file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Vocoded death threat.wav,Multiple airplanes are practicing their flight patterns over our house.,Airplanes are flying in the sky over a house.,The engines of two cars were recorded with full reverb.,Two cars pass quickly on the freeway one after the other.,Two passing cars were recorded with full reverb on.
Soda in vinegar.wav,Pouring liquid fizzes with a buffering type sound.,Rain coming down on the side of a highway and a car passing by through the puddles.,Sprinklers are turned on and are fluctuating in speed.,The rain came pouring down the side of a highway as cars passed by through the puddles.,liquid being poured and fizzing and buffering sound
underwater ambience.wav,A bubbling and gurgling that is happening underwater.,Cans and other various trash items fall down.,"Cans, various trash items, or both are tumbling down.",Moving and bubbling underwater during a scuba diving or just filling up a tub.,Someone walking through water at a steady pace.
Tumbling stream in mountain forest (winter).wav,"Running water flows into a pool, small and large splashes alternating as time goes on.",Running water flows into the pool with splashes of alternating size.,Water flowing over a dam at the end of a creek.,Water is flowing and bubbling along steadily and consistently.,water is flowing creating steady and consistent bubbles.
enginetuning1.wav,A motorbike is running and riding at a consistent rate and then speeds.,A motorbike was running and riding at a consistent rate and then it sped off.,An engine whirs and then another engine begins revving loudly.,Another machine turns on after some sort of loud machine went off at a pretty consistent rate.,an engine is whirring followed by another engine revving really loud
HWY-I90.wav,A flag is flapping in the wind near a stream of heavy traffic.,"As the tires thump against the street, the traffic moves consistently along.",The vehicles made a thumping noise as the traffic sped past on the uneven road.,Traffic moves along consistently as the tires thump against the street.,"Traffic speeding past, with thumping on an uneven road."
Streaming.wav,"A stream flows, making a rapid babbling noise.",The water pours through the rocks of a small creek.,Trickling sounds and running water through the stream,Water is flowing down one direction without stopping.,Water pours through a small creek and over its rocks.
00294 harvest festival rumour 1.wav,A group of people speaks to each other while other conversations are being held nearby.,A large crowd of people talking while a man on a loudspeaker system is also talking to the crowd.,A man is speaking on a loudspeaker to a crowd of people who are already talking.,A man talking over a tannoy system in a public place while background voices can be overheard.,People speaking while others chat in the background
00332 lake beach 1.wav,Children play and adults converse in a noisy city area.,Children play as adults talk in a noisy urban area.,Children yell and make noise while adults are talking.,Children yelling and making noise while adults are talking.,Kids play and laugh near the beach while adults talk and watch.
FootSteps_SNW.wav,A person is using a shovel to dig up piles of fresh winter snow.,Footsteps are made in the snow but are slowing down and then speeding up.,Footsteps being taken in snow at alternating slower and faster speeds.,Someone is alternately walking and running in the snow.,Someone was walking really slowly through snow on the ground.
02 Winchester street 1.wav,A heavy vehicle and other vehicles are driving near by.,"A large diesel truck drives up, turns off the engine and parks.","Large internal combustion engine vehicle drives away, compressed air releases, internal combustion vehicle approaches and slows.",a vehicle with a noisy engine is coming closer.,a vehicle with noisy engine is coming closer
Open Window + Train Passes.wav,A roller coaster going past a person or area.,A train approaches and a train passes by quickly.,A train approaches then passes by very quickly.,"A train is rapidly approaches, but then it passes by.","In an otherwise peaceful environment, a train approaches and then passes by."
BsAS_Tren01.wav,A rolling train going by a railway crossing with crossing arms down,A train goes down the tracks and passes through a train station.,A train going down the tracks passing through a train station.,Trains are crossing nearby while a railroad warning bell is sounding.,Trains crossing nearby and a railroad warning bell is sounding at the same time.
Waves on Bamburgh Beach.wav,Ocean waves that are washing up the shore then back into the ocean.,The waves of the ocean crash onto the shore then recede.,Waves are rolling in and splashing upon a beach.,Waves crash in a natural manner while nothing else echoes out.,Waves crashing in a natural manner with no other audible noises.
0605door.wav,A door is opened and a person closes it several times.,A door is opened and closed multiple times.,"Several times, doors open and then close with a bang.",Someone is getting stuff out of a cabinet with a self shutting door which keeps shutting on them.,The door shuts every few seconds for a total of five times.
07-Bakken_Outside-Musichall.wav,"A band is playing while its lead singer is singing, amid people closely talking to one another.",A band is singing a song that contains varied pitches.,"A lead singer is singing, a band is playing and people are talking in close proximity to each other.",A man is accompanied by musical instruments while singing.,A man is singing while musical instruments are playing.
070821_flsp_trail02.wav,"A faint, mechanical buzzing hums steadily while shovel strikes hit the ground as a person digs a hole.",A jet flies overhead while someone is hammering.,Consistent buzz of machinery while a shovel strikes the earth again and again.,The forest is alive as an lumber jack works in the background.,Wood thumps in the background as an airplane lands.
Submarine Diesel Engine 002.wav,Airplane on tarmac is ready for take off,An airplane on the tarmac is running and the plane waits to take off.,An old airplane is sitting on the runway and getting prepared for take off.,"The airplane is on the tarmac, ready for take off",The running plane waits to takeoff from the tarmac.
071616 Metal lid drops.wav,"A light, metal object is repeatedly being picked up and dropped onto another hard surface.",A metal object that is light is being picked up and then dropped onto another hard surface repeatedly.,A person is tossing coins several times into a tin can.,pans in a kitchen are banged and clanged,pieces of metal falling on the ground over and over
0804_094043 metal grinding or drilling 30secs.wav,A person is cutting some wood with a saw,A spinning lathe eats away at something being hand fed into the blade.,Inside of a tool shop someone is using a grinder,Someone using a grinder inside of a tool shop,The blade of a lathe is spinning while something is fed into it.
Pegasus running.wav,A large engine is operating as gas is being fed to it.,"A motorcycle is idling and then revved a little, and finally idling again.",A train engine is running and revs up to make a higher pitched sound.,A truck sits idle and then the operator presses on the gas pedal.,The sound of a jack hammer breaking up the ground then someone turn on a motor.
080808_26_Rain_Storm_Lighting_Road_Cars2.wav,A distant thunder storm may be coming closer.,A slow and steady rain with thunder in the background,A slow steady rain fell accompanied by thunder in the background.,A steady rain with some thunder in the background,"the sound of wind in the background, and a faint grinding sound."
filling-ice-cup.wav,A person may be eating or pouring a drink quietly.,Emptying a container full of water by pouring the water onto an artificial surface like a tarpaulin.,Gravel and fluid are being poured steadily and slowly out of a container,Someone pouring water onto a tarpaulin or other artificial surface until there is no more water in the container.,person may be eating or pouring a drink sound is light
080920_02_song_under_metal.wav,A man sings in a loud room with banging and pounding sounds.,A person is singing and a metal object clanks.,A person is singing in the backyard at the same time as some quiet knocking noise.,A person sings as he goes about his work.,A quiet knocking while a person sings in the background.
plastic car shetler flap1.wav,A bag being dragged across a concrete floor is dropped then dragged again.,A person is moving heavy clothes around in a room.,Paper and hard objects being dragged across another hard surface.,Paper is dragged across a solid surface along with some hard objects.,"Silverware is being rummaged through, followed by tearing."
10-Bakken_GamblingMachines_Hall_calm.wav,A crowd of people chatter in the background as cashier drawers open and shut.,Indistinct shuffling and conversations drown out the voices of the children.,Indistinct shuffling and conversations drown the voices of children.,Machines loudly operate as people talk and yell in the background,People talk to each other while machines operate loudly.
100327_0082 regen patio.wav,It is raining and hitting several different objects,"Rain hitting the environment, metal or houses, while the flow of rain water run off continues.",Rain hitting the roof with also rain coming down in the background.,The rain is consistently hitting several different objects.,"The hiss of rain water run off continues as rain hits the environment, metal of houses."
yapping-dog.wav,A dog barking at a man walking by.,A dog is barking at a man walking by.,A small dog barking quickly at someone or something.,A small dog is barking quickly at someone.,Two dogs from nearby houses are barking at one another.
110714_wren.wav,Birds tweet and coo in the sky while a gentle breeze blows through the forest.,Birds tweet and coo while a gentle breezes blows.,Tweeting from a bird and then a small soothing caw from distant birds.,Tweeting from a bird and then a soothing caw from distant birds.,"While birds are chirping in the background, a small fan is running."
morning birds march.wav,A great deal of birds chirp and coo together.,A large group of different kind of birds are cooing and chirping outside.,A lot of song birds sing and another bird coos softly.,Some birds and many other birds are cooing and chirping outside.,several species of birds and insects calling outdoors
12_footsteps_chitwan.wav,A continuous crackling and creasing noise being emitted.,A person coughs while stepping through a pile of leaves.,A person is walking through the woods on leaves and insects are sounding in the background.,A person stepping through a pile of leaves and coughing,A person walking on leaves through the woods with insects in the background.
seagulls.wav,A beach with waves coming in and many seagulls squawking overhead.,A flock of seagulls singing and flying around the beach.,Seagulls in a flock are singing and flying near the beach.,Seagulls scream in the background while wind and rain storms.,Wind and rain storm while seagulls scream in the back ground.
Box of sweets.wav,A person ruffling through a bag of chips,A small object is being moved around in a dry bin.,Moving around of some small objects in a dry bin.,"Someone is digging through a container, pulling out desired items, and laying them down on a surface.","Someone removes the contents of the container piece by piece, laying them down on the surface."
fountain_in_the_town_centre.wav,A loud and constant splashing and gurgling of water.,Continuous running and splashing noises from the water.,From the water is continuous running and splashing.,The water flows continuously with an extreme force.,water is flowing furiously with a force continuously
OutsideFaucet_mono_bip.wav,A stream is running and a few birds are chirping.,A stream is running while a few birds are chirping.,A water tap has dripping and flowing water running out of its faucet.,The water is falling down with an extreme force.,here is some water falling down with force
Long Toilet Flush with Tank Fill.wav,A toilet flushes and echoes in the background.,A toilet is flushing until it is done where only the water drainage system is running.,A toilet that is slowly flushing followed by an echoed sound.,Someone flushes a toilet before it is left so that the tank can fill up again.,a toilet flushing with a echoing sound in the background
140817_Szymbark.wav,"A bell is ringing while cars are racing, a band is playing, and people are talking in the background.","A fire truck blows siren, a person plays a horn, and another person rings a bell.","Sirens are going off, just as a band plays, and a bell is ringing.","Sirens going off, a band playing and a bell ringing in close proximity to each other.",the People are standing around watching a fire truck parade go by.
Cabalgata Reyes Magos 1.wav,"A crowd cheers with some individual voices and a baby cries, as drums play in the distance.",A crowd screams as a baby cries and some individual voices stand out with drums playing in the background.,A large group at a parade with cheering and a few people chatting close.,People are shouting and a man says something and then a child is whining.,People are screaming a cheering and clapping and yelling out
Paper ripping.wav,A paper is ripped out and ripped in pieces several times.,A paper is ripped out and torn into several pieces.,A person turns a page in notebook and the person rips the paper a number of times.,A sheet of paper is being torn into pieces.,A sheet of paper is being torn into smaller pieces.
160718 HSN skateboarders 1.wav,"A skateboard is being driven over cement sidewalks, occasionally jumping with the board.",A skateboard being ridden over a hard surface while jumping with the board.,People are playing tennis indoors in a large room.,People playing a game of tennis inside a large room.,The stairs creak at times as someone is walking up.
FP_Flock_of_Birds.wav,"As the wind gets stronger, the stuck paper makes more noise.",Rain is heard pouring down onto the grass and sidewalks,The rain poured down on the grass and sidewalks creating a symphony .,The rainfall was hitting the pavement fast and then stopping slowly.,The sail on the boat is flapping in the strong wind.
Morgens 01.wav,A variety of birds are chirping and tweeting.,Birds singing outside in nature continuously loudly without stopping,Many different kinds of birds are chirping and tweeting.,"Various birds sing, some low and some high, some loud and some softly.",various birds are singing at different speeds and degrees of loudness
Small bird singing in the woods.wav,A bird chirping and a fly buzzing around a window sill.,Birds are chirping and tweeting in the outdoor garden.,Birds are chirping and tweeting in the outdoors,Birds are tweeting in a light pitch while a mosquito buzzes shortly.,"In front of the window, a bird chirps and a fly buzzes."
WOOD_CREAK.wav,A hard object is pulling and prying on a harder wooden object.,A hard object pulling and prying on hard wooden object.,A man tears tape off so that he can open the box.,Someone is rocking back and forth while working on a squeaky porch.,Someone is working sitting in a rocking chair on a squeaky porch.
wooden barndoor.wav,"A person opens a gate to walk in, closes gate, and then opens and closes the gate while walking out.",A squeaky door swing open and then shuts several times.,A squeaky door swings open and then shuts several times.,Someone pulling open lockers and then opening and closing the door to three different lockers.,Someone prying open lockers as well as opening and closing the door to three different lockers.
17 hn_dripsHeinzField.wav,"At a regular volume, water is falling on a thin metal plate.",Rain is falling on an object such as a roof.,Rain patters upon to a roof in a light downfall.,The light rain falls and patters on the roof .,Water is falling on a thin metal plate at a regular volume.
"ATM-LES-CIST-1,50.wav",Air moving and a wide variety of birds chirping and singing in close proximity to each other.,Birds chirp continuously while a low wind blows in the background.,Different kinds of birds are chirping and singing continuously.,Different styles of birds are chirping and singing frequently,Upon a quiet background a group of birds chirp
fs_brokenMixer302-1.wav,A synth fades in and buzzes in a large room.,"A synthesizer noise increases in volume and begins to buzz in a large, open room.","A variety of musical groups play, all with different frequencies and styles.",High pitched electronic sounds being played back in an empty room.,In an empty room high pitched electronic sounds play.
kupani-snihu.wav,Paper is being crushed in the background while the wind blows loudly.,Someone is walking on a snow covered area.,Someone is walking on a snow covered road.,The wind is brisk in the background besides the feet crunching through the snow.,snow crunching sounds that get quieter near the end with wind noise in the background
wind-quiberon01.wav,Ambient noises of a forest with birds chirping occasionally.,Soothing ambient tunes of a forest while the occasional bird chirps.,The wind is blowing but besides that it is pretty quiet,The wind is howling and get louder as time progresses.,The wind is howling and gets louder as time progresses.
2006-2007-fireworks.wav,A gun is being fired in the background.,A gun is being shot in the background.,A woman is watching fireworks go off in her neighborhood,Fireworks are going off and getting progressively louder and more frequent.,"Fireworks go off, getting louder and more frequent as they go on."
20060706.wasp.wav,A bee buzzing around very fast and loudly,A bee buzzing around very fast and very loudly,A bee buzzing indoors and hit a wall.,"A bee moving around, becoming closer and leaving",An anxious bee buzzes indoors and bangs against a wall.
fakerainstereo.wav,A machine is running and wheels are clicking along a solid surface,An electric money counter is counting and wrapping money.,An electric money counter is counting money and wrapping it.,An electric industrial sewing machine is being ran at top speed.,An industrial sewing machine is being ran at top speed.
glockenspiel and steps climbing steeple.wav,A door opens and closes and someone walks to stairs and begins climbing stairs.,"A door opens and closes, then someone walks to the stairs and begins climbing them.","A door opens, someone walks in and continues walking up a stairway.","A door opens, someone walks in and continues walks up some stairs.","A person comes inside, closes the door then proceeds up a long flight of stairs."
steam engine at museum.wav,A machine in an industrial plant is letting out steam.,A machine in an industrial plant that is letting out steam,A table saw is cutting a piece of wood.,"An engine, powered by steam, hisses continuously as it functions.",an engine using steam is hissing continuously while running
Concrete_demolition.wav,"A piece of construction equipment moving around, sometimes going backwards and beeping.","A vehicle makes a warning sound as it backs up, then it drives off.",The warning sound of a vehicle goes off as it backs up and pulls off,Construction equipment moves around and beeps when reversing.,Heavy machinery being operated by people who work construction.
torch.wav,A click signals an old gas grill bursting into flame.,A lighter clicks and ignites a jet of gas.,A radio being turned on and the tuner is picking static noise.,As the lighter clicked the gas is ignited.,Turning the radio dial is only producing static.
20070406.car.engine.00.wav,"A large diesel engine started, and then the vehicle pulled away.",Large diesel engine starts up and then the vehicle pulls away.,The large diesel rig is starting with a sliding belt.,The starting of a truck or bus which then purrs in idle mode before gently moving off.,a diesel truck starts and slowly pulls away
jf Victorious Trees.wav,"A dull, hard object is striking another hard object at regular intervals while bells are chiming.",An bell sounds and a car drives up a gravel pathway.,Bells chime as balls of various sizes bounce on the floor,"Metal balls are being rolled down a felt table, bouncing off of metal.",Tintinnabulation is audible while balls of varying size bounce on a floor.
20080918.boots.door.wav,"Footsteps cross the room, the person opens and closes a door, then they walk away and back again.","Someone crosses the room, opens and closes the door, and walks back and forth.","Someone walking around, opening a door to place down objects then walking away.",Someone walking out of a bathroom that has a wet floor.,"someone with boots walks, opens the door and put some boxes in the closet then keep walking around"
Metal Trashcan Opening.wav,"A rusty, metallic cranks rubs against metal as someone turns it.",Rough metal objects rub against each other repetitively.,"Very loud metal against metal scraping sounds, varying in pitch.",someone turning a rusty metallic crank as it rubs against more metal.,dry metal objects rubbing a cross one another
2009-07-17_1047_Mercado Bolhao between butcher&#39;s and beans.wav,A crowd of people are speaking to each other while a machine is running in the background.,A market square with a lot of people talking and interacting with each other and passing each other plastic bags,In a market or restaurant people are discussing their business.,Many different people are conversing in close proximity to each other.,People are discussing about something at a market.
"2009-07-23_1730_Serralves, Fountain recorded between the fountains.wav",A plane takes off during a heavy rainstorm.,"In a heavy rainstorm, a plane takes off, rolling down the runway.",Rainwater falls off a roof as a jet airliner passes overhead.,Rainwater is falling off a roof while a jet passes by overhead,Water is pouring from a fountain while an airplane is flying overhead.
City Traffic Ambience 1.wav,A car screeches its tires and pulls away during the rainfall.,A car starting and screeching away in the distance in a garage.,"An engine is running in the distance, then cars pulls up nearby.","In a distant garage, a car squeals and peels out its tires",Multiple cars drive past at a far distance.
Rain ambience.wav,A thunder storm is slowly moving forward towards us.,Air is moving and rain is beginning to fall accompanied by thunder.,Rain falling outside during a storm with thunder in the background.,Rain falls on the pavement as thunder peels in the distance.,Wind is blowing rapidly and rain is beginning to fall accompanied with thunder.
Paris_Porte_Maillot_Traffic.wav,A bus is departing from the terminal station.,A car engine revs as it being driven.,A very faint and continuous engine is rumbling in the distance.,An engine rumbles faintly in the distance at a consistent rate.,The bus starts pulling away from the terminal station.
20090425.nightingales.wav,A bird is loudly chirping continuously in the morning.,A gentle breeze blows as birds tweet and chatter.,Birds tweet and chatter while a gentle breeze is blowing.,The bird continuously chirps loudly in the early hours of the morning.,"lots of birds around with distinct whistling, then one bird whistles and others pass and whistling continues"
Birds - caged.wav,A group of birds is making chirp noises to each other.,A large number of birds chirping loudly and continuously.,A large number of birds chirping loudly and it is continuous.,A small school of birds chatting away during the day hours.,A small school of birds is chatting away during the day hours.
"Bell, Stereo Movement.wav",A bike bell that is rung a few times randomly.,A wind chime hanging in a tree being blown by the wind.,In the middle a bell is banged every couple of seconds.,The bike bell rings randomly just a few times.,The wind chime hangs from a tree as the wind blows it.
Atmos Residential Texas.wav,A sea animal dove and other birds are nearly drowned out by traffic in a nearby road.,Birds chirp and sing at each other as cars drive in the distance,Birds chirp and sing while cars pass by in the distance.,Birds chirp in the trees above as vehicles drive by.,"Vehicle drive by while above them, birds are chirping in the trees."
sweeping .wav,Footsteps as someone mops a floor and rings out the cleaning instrument.,"Footsteps thump, followed by a metallic bang, further footsteps and wood banging.","Someone hit a plastic case on his hand, the person walked and then hit the case on a hard surface.",footsteps as someone mops a floor and rings something,"footsteps, metal bangs briefly, more footsteps, then banging on wood"
Chopping Vegetables.wav,A person cutting and chopping vegetables on a cutting board.,A person slices things on a board using a knife.,A vegetable is chopped up on a cutting board.,An item is being cut with a knife.,Vegetables are being chopped on a cutting board.
20090912.tourists.wav,A group of men women and children speaking to each other.,"A group of men, women, and children were talking with each other.",A person is walking while people are talking around of them in a crowded place.,People are gathered and talking and someone is jangling coins together.,Someone is jangling coins together as people are assembling and talking.
resident_comes_home.wav,A person walking on pavement while holding keys and opening a door.,A person walks to a door and keys open the door and the keys are set down.,"After unlocking and walking through a door, a person sets the keys down.","Someone walks across a hard surface while jangling metal objects, and then a lid opens, followed by more metal jangling.",Feet of someone raps against the pavement while opening a door with keys.
Birds Chirping ME.A1.wav,A large volume of water is consistently falling and splashing.,A large waterfall rumbles as the water cascades.,A waterfall flowing over rocks in an outdoor area.,"In an outdoor area, a waterfall is flowing over rocks.",The big waterfall is rumbling and dropping a huge amount of water
water_spout_2.wav,A person scooping up water in a sink with their hand and splashing it around.,Water cascades into a sink while a person cleans their face.,Water flows down at different speeds and arrives fast and slow.,Water is flowing down at different rates coming fast and slow.,Water pouring into a sink and someone washing their face.
welding2.wav,A plane sander is being used by someone in a workshop.,An electric saw is being used in the background.,Machinery is grinding against metal while some metal clangs.,"We entered the room, and an electric saw was being used in the background.",metals are being filed by a machines with a spinning blade
20100117.beeps.00.wav,A person operating an electric saw outside with seagulls in the background.,Air is escaping through a restricted orifice and birds are chirping in the background.,Highly distorted electronic beeps and hums are like those in a science fiction movie.,Highly distorted beeps and hums like that in a science fiction movie.,Someone operates an electric saw while seagulls are audible in the distance.
Turning on Shower_1-2.wav,A powerful shower is turned on and water starts to collect and drain at the plug hole.,A shower is running with water going down the drain.,Water is flowing down into the shower room,Water is going down the drain while a shower is running.,water is flowing down in the shower room
Arnie Impersonation STE-001.wav,A man is speaking and screams at the end.,A man is talking and then the man starts growling.,A man talks and after that he growls.,A man who speaks screams at the end of his speech.,Someone talks aggressively and then shouts with joy.
20100422.light.my.fire.wav,A piece of metal is being heated by machine fire and shaped,Moving and tacking a hard object on a board making a noise.,Tapping followed by silence and then two more taps.,"Tapping is first followed by silence, then by two more taps.",Wood makes popping noises as a fire burns and crackles.
heatVent.wav,A muffled random noise with light tacking from a distant object.,"Air is escaping from a machine running at a constant speed, while a object is dropped onto a hard surface.","Air is escaping from a machine running at constant speed, while a hard object is dropped onto another hard surface.",Hard objects being tapped together in the background.,The electric engine performs smoothly at a steady pace.
20100423.river.02.wav,A washing machine is in the wash cycle.,A washing machine is running in the wash cycle.,Heavy rain falls down and splashes on a surface and into pools of water on the ground.,It is pouring rain as the rain comes out of the gutter at a fast speed.,Water running into a basin and down a drain.
Big_Roundabout_Traffic.wav,A large vehicle passes by followed by many more.,Cars drive on a new paved highway and the cars pass by quickly.,Lots of traffic on the interstate today as many car are being passed by a truck.,Traffic on an interstate with a truck passing by some cars.,out on the highway many vehicles passing by continuously
"windy winter day, wind in trees, leaves, metallic object rattling.wav",A car is driving down a street in the middle of a rain storm.,A heavy rain coming down next to a road with traffic noises.,Cars travelling down a highway while rain is coming down on it.,Heavy rain is hitting the ground outside today.,Rain coming down on a highway with cars travelling down it.
leaves-penyfridd.wav,As the night goes on it is raining hard and constantly and does not letup.,It is raining and a car goes by and soon another one approaches.,It is raining hard and constantly and does not letup.,It is raining outside as cars pass by one after the other.,Rain is falling and hitting a cloth softly.
miau.wav,"A cat is meowing and crying at a steady pace, without letup.",A cat is meowing repeatedly and an odd tone is cycling in the background.,"A cat meowing and crying at a steady pace, without letup.",A cat that is meowing is making different sounds.,a cat meowing repeatedly and an odd tone cycling in the background
dog drinking Water.wav,A canine is in the kitchen lapping up water from a bowl.,A dog drinking water from a bowl in the kitchen.,"A dog is lapping up water, then starts lapping it up faster.","A dog starts lapping up water more slowly, but then starts doing it faster.",Liquid is being stirred and someone is breathing nearby.
20160922_passing.lorry.marshes.wav,A car pulling up and a crow making some noises.,A train passing by on a track in the middle of the night.,A train passing through a rural area on a train track,"In the middle of the night, a train passes by on the nearby track.",wildlife noises as a train approaches and passes by
people atmo 3.wav,A bunch of people are talking and someone gets in their car to leave and beeps at someone.,"A group of people talk while someone gets in their car to leave, beeping their horn at someone",Faint music plays in the background as a car drives through a rural area.,Men are talking loudly in a parking deck with a car horn blaring in the background.,People are speaking as others are blowing instruments and then a car horn honks.
20101121.sanlucar.street.wav,A group of people are speaking to each other in a large crowd.,A large crowd of people chatting in a public area.,People are chatting with one another as they stroll about.,People are talking to each other and walking around.,Several people talking outside at a large gathering.
grass_steps_01.wav,A person walks over dried leaves to make the crunch sound.,Leaves and gravel crunch under the foot of someone going for a stroll.,Shoes are moving down a path covered with twigs and leaves.,Someone steps on leaves in an area with trees.,Someone walking on top of leaves and other debris.
20101228.street.wav,A crowded room with a little clinking of glasses or bottles.,A plank being struck as people are conversing with each other.,A very small cafe in the street that is helping people.,People clink glasses and bottles in a crowded room.,Something hitting on a plank in the background and people talking
WeddingClap.wav,A large crowds is applauding loudly and some can be heard cheering.,An audience or large group of people cheering and clapping and making a lot of noise throughout entire audio clip.,First there was shouting and loud clapping and then the clapping slowed down.,People clapped and cheered loudly before slowing down.,people clap and cheer loudly before slowing down
Snowbirds Airplane.wav,A man and two little girls are talking and watching a jet aircraft take off.,A plane flies over and an excited man and then kids can be heard talking.,An excited man and two little girls talking enthusiastically while watching a jet aircraft take off.,The plane flies over a man and the kids continue talking.,"an airplane passing by, an excited male voice and a child speaking."
20110423_nightingale.close.M10.wav,Birds chirping loudly overlapping frogs croaking in the background.,Birds chirping loudly overlapping the frogs croaking in the background.,Exotic birds chirp back and forth to each other while frogs croak and crickets chirp as time goes on.,Outside in nature birds singing without any change in rhythm,The birds are chirping and whistling loudly while an animal is barking in the background.
20120329_strike.03.wav,A man is announcing over a public address system in an arena and the crowd intermittently cheers.,"In a speech, someone is speaking loudly as people listen.","Someone speaking as a gun is fired, and a crowd begins to clap.","Someone talking with a gun shot being fired, then a crowd starting to clap.",The crowd in an arena cheers intermittently as a man announces over the public address system
Ocean Waves_Distant_Light Traffic.wav,A car drives by an ambient city noise reverberates.,Ambient city noise reverberates as a car drives by.,Cars are streaming by a slow rate of speed on roads that are wet.,Cars go by on wet streets at a pace that is slow.,The wind blows through a car window while driving on the highway.
traffic stereo.wav,Fast moving cars were approaching and leaving an area,Fast moving cars were approaching and leaving from an area.,Fast moving vehicles of various sizes are zipping passed a location on a busy road.,Someone is driving on wet roads where vehicles are passing.,Someone is driving on wet roads with vehicles passing.
birdsongEvening.wav,A bird chirping in the foreground and a hard object striking a hard surface.,A bird chirps as a hard object strikes a hard surface.,Birds are singing while a ping pong ball is bounced once on a table,"Birds chirp and become quiet, then a knock, followed by louder chirping.","Birds chirping, then quieting, a knock then louder chirping."
alarm_clock_ringing_01.wav,A bell is ringing continuously without any break,A metal alarm clock rings over and over for a minute.,A metal alarm clock rings repeatedly for a minute,An alarm bell rings loud and very close.,An alarm bell rings loudly and very closely
Synthetic Rain Noise.wav,A clock radio is tuned between the dials.,A steady and constant stream of rain that does not change.,"A television set is on, but it is only broadcasting heavy static with no discernible signal.",It is a television that is on but is on the white noise channel with no signal.,Rain is pouring down and as it collects it drips down from the rooftops in larger drops.
Traffic 2 Bikes &amp; cars.wav,A moving car approached and then it stopped.,A moving car approached and then stopped moving.,A flimsy engine car that is driving stops while birds are tweeting in the background.,The wind is blowing while cars drive by in the background.,Wind is blowing while cars drive by in the background.
41_STEAM.wav,A power washer is being used to clean various surfaces at different rates.,"Air sprays in one steady stream and then two shorter, air streams are added in the stream.",An industrial machine whirring inside an enclosed room.,Someone with a power washer is passing the spray over various surfaces of an object at different rates.,"Streams of air occur, one constant, two inconsistent, not in rhythm"
Flame thrower varying power.wav,"A air hose blows a few short times, then longer, then shorter again.",An air compressor machine blows its compressed air,"An air hose blows a few short times, then longer, then shorter again.",A person is manually blowing air into something.,Air being removed from an air compressor machine.
TS creaky chair.wav,A clock is creaking while being wound up.,A sample of a floor creaking is being played in different keys.,Quick bursts of scratching static noises get lower and lower repeating three times from high to low,"Quick bursts of scratching, static noises fall lower while repeating high to low, and at three times.",someone is turning and winding a creaky clock
4CH000M.wav,A jet blasting water at dishes in a dishwasher,A machine is running continuously and a clunk happens.,A machine is running continuously as a clunk happens.,A rotating automatic water sprinkler spraying water on the ground,An automatic sprinkler spins and sprays water on the ground.
Gate up.wav,"A squeaky door opened, followed by an object rolled into a building and then a door closing.","A squeaky door opening, followed by an object on wheels being rolled into a building, followed by the door closing.",A squeaky door opens and footsteps come closer.,Metal is scraping and then there is some clunking in the background.,The sound of metal scraping reverberates as there is a loud clunk in the background.
Schnelllauferpresse 03.wav,A machine with a belt running at full speed.,A train moving along a track with a lightly clanging bell.,"Inside, a machine is clicking and whirring at a steady speed.",Machine operating and working at a very steady pace,it sounds like banging on metallic object like a product plant or hammer on metal
808 Kings Cross  steps.wav,Some people are rapping while some feet are tapping.,Someone is walking up the stairs of a school.,Someone walking along a hard surface while people talk in the background.,some kids are playing basketball in the court and talking to each other,some kids are playing basketball in the court and talking to each other in the background.
"A dog groaning, moaning, sniffing, panting and grunting.wav",A dog is forcefully chewing on a bone.,A dog is chewing forcefully on a bone.,A pig in the field is snorting as it eats from the trough.,An animal is grunting and digging at a hard surface.,An animal is grunting while digging at a hard surface.
Open and Close DVD Cases.wav,A dog is crunching and chewing on a large hard bone.,"A person opens a CD case, takes out the CD and puts it back inside clicking it shut.","A person opens a CD case, takes the CD out, puts it back inside and clicks it shut.",Hard objects are being dropped and moved across another hard object.,Someone is placing small hard objects on a wooden table.
Waiting at a Montreal Subway Station.wav,A vehicle passes and then the wind really whips it up.,A vehicle passes and then the wind really whips up.,"Outdoors, cars at a large circular race track.",Strong gusts of wind are evident and automobiles driving past.,The wind is blowing very strongly and cars are passing by.
"a gentle breeze, wind 4.wav",In a quiet environment the wind is blowing,The wind is blowing in a quiet environment,The wind is blowing on the sea in the distance.,Thunder rumbling in the sky stops as a breeze blows,Wind blows atop the sea in the far distance.
WalkingWinteronIceandSnowJanuary2013.wav,A person is stepping slowly atop the hard ice.,A person is walking on loose rocks below their feet while taking steps,A person is walking on loose rocks taking steps,A person is walking slowly through hard ice.,Shoes are moving across a hard surface covered with different kinds of debris.
Clatter of cargo train wheels.wav,A slow moving train clicks past a single gap in the rails.,A slow train clicks past a gap in the rails.,A train is going down the tracks with each train car making two thumping sounds as it passes.,The intense whirring of an engine is combined with a repeated clacking.,a train is moving over the rail while hissing steam
Like a spin-drier with worn bearings.wav,A ringing growing louder and more intense until it begins to slow and fade.,A ringing is growing louder and more intense until it begins to slow and fade.,An eerie whirring gets intermittently louder and softer.,"First a loud buzzing sound, then second a ringing sound combined with buzzing at the end.",There loud buzzing at first then a ringing sound is combined with the buzzing to the end.
